"country" "region" "year" "iso"
"Lao PDR" "East Asia & Pacific" 2008 "LAO"
"Latvia" "Europe & Central Asia" 1988 "LVA"
"Latvia" "Europe & Central Asia" 1993 "LVA"
"Latvia" "Europe & Central Asia" 1995 "LVA"
"Latvia" "Europe & Central Asia" 1996 "LVA"
"Latvia" "Europe & Central Asia" 1997 "LVA"
"Latvia" "Europe & Central Asia" 1998 "LVA"
"Latvia" "Europe & Central Asia" 2002 "LVA"
"Latvia" "Europe & Central Asia" 2003 "LVA"
"Latvia" "Europe & Central Asia" 2004 "LVA"
"Latvia" "Europe & Central Asia" 2007 "LVA"
"Latvia" "Europe & Central Asia" 2008 "LVA"
"Latvia" "Europe & Central Asia" 2009 "LVA"
"Lesotho" "Sub-Saharan Africa" 1986.5 "LSO"
"Lesotho" "Sub-Saharan Africa" 1993 "LSO"
"Lesotho" "Sub-Saharan Africa" 1994.4 "LSO"
"Lesotho" "Sub-Saharan Africa" 2002.5 "LSO"
"Liberia" "Sub-Saharan Africa" 2007 "LBR"
"Lithuania" "Europe & Central Asia" 1988 "LTU"
"Lithuania" "Europe & Central Asia" 1993 "LTU"
"Lithuania" "Europe & Central Asia" 1996 "LTU"
"Lithuania" "Europe & Central Asia" 1998 "LTU"
"Lithuania" "Europe & Central Asia" 2000 "LTU"
"Lithuania" "Europe & Central Asia" 2001 "LTU"
"Lithuania" "Europe & Central Asia" 2002 "LTU"
"Lithuania" "Europe & Central Asia" 2004 "LTU"
"Lithuania" "Europe & Central Asia" 2008 "LTU"
"Macedonia, FYR" "Europe & Central Asia" 1998 "MKD"
"Macedonia, FYR" "Europe & Central Asia" 2000 "MKD"
"Macedonia, FYR" "Europe & Central Asia" 2002 "MKD"
"Macedonia, FYR" "Europe & Central Asia" 2003 "MKD"
"Macedonia, FYR" "Europe & Central Asia" 2004 "MKD"
"Macedonia, FYR" "Europe & Central Asia" 2005 "MKD"
"Macedonia, FYR" "Europe & Central Asia" 2006 "MKD"
"Macedonia, FYR" "Europe & Central Asia" 2008 "MKD"
"Macedonia, FYR" "Europe & Central Asia" 2009 "MKD"
"Macedonia, FYR" "Europe & Central Asia" 2010 "MKD"
"Madagascar" "Sub-Saharan Africa" 1980 "MDG"
"Madagascar" "Sub-Saharan Africa" 1993 "MDG"
"Madagascar" "Sub-Saharan Africa" 1997 "MDG"
"Madagascar" "Sub-Saharan Africa" 1999 "MDG"
"Madagascar" "Sub-Saharan Africa" 2001 "MDG"
"Madagascar" "Sub-Saharan Africa" 2005 "MDG"
"Madagascar" "Sub-Saharan Africa" 2010 "MDG"
"Malawi" "Sub-Saharan Africa" 1997.5 "MWI"
"Malawi" "Sub-Saharan Africa" 2004.3 "MWI"
"Malawi" "Sub-Saharan Africa" 2010 "MWI"
"Malaysia" "East Asia & Pacific" 1984 "MYS"
"Malaysia" "East Asia & Pacific" 1987 "MYS"
"Malaysia" "East Asia & Pacific" 1989 "MYS"
"Malaysia" "East Asia & Pacific" 1992 "MYS"
"Malaysia" "East Asia & Pacific" 1995 "MYS"
"Malaysia" "East Asia & Pacific" 1997 "MYS"
"Malaysia" "East Asia & Pacific" 2004 "MYS"
"Malaysia" "East Asia & Pacific" 2007 "MYS"
"Malaysia" "East Asia & Pacific" 2009 "MYS"
"Maldives" "South Asia" 1998 "MDV"
"Maldives" "South Asia" 2004 "MDV"
"Mali" "Sub-Saharan Africa" 1994 "MLI"
"Mali" "Sub-Saharan Africa" 2001 "MLI"
"Mali" "Sub-Saharan Africa" 2006 "MLI"
"Mali" "Sub-Saharan Africa" 2010 "MLI"
"Mauritania" "Sub-Saharan Africa" 1987 "MRT"
"Mauritania" "Sub-Saharan Africa" 1993 "MRT"
"Mauritania" "Sub-Saharan Africa" 1995.5 "MRT"
"Mauritania" "Sub-Saharan Africa" 2000 "MRT"
"Mauritania" "Sub-Saharan Africa" 2004 "MRT"
"Mauritania" "Sub-Saharan Africa" 2008 "MRT"
"Mexico" "Latin America & Caribbean" 1984 "MEX"
"Mexico" "Latin America & Caribbean" 1989 "MEX"
"Mexico" "Latin America & Caribbean" 1992 "MEX"
"Mexico" "Latin America & Caribbean" 1994 "MEX"
"Mexico" "Latin America & Caribbean" 1996 "MEX"
"Mexico" "Latin America & Caribbean" 1998 "MEX"
